OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_1369	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhodospirillales_1	Rhodospirillaceae_1	Uncultured_294				0	0	Bacteria_Proteobacteria	99.600	100
OTU_252	Bacteria_1	Myxococcota_1	Polyangia_1	Polyangiales_1	Birii41_1					0	0	Bacteria_Myxococcota	97.600	100
OTU_37	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1				0	0	Bacteria_Firmicutes	100.000	100
OTU_985	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Mycobacteriaceae_1	Mycobacterium_1				0	0	Bacteria_Actinobacteriota	98.800	100
OTU_15415	Bacteria_1	Myxococcota_1	Polyangia_1	Polyangiales_1	Phaselicystidaceae_1	Phaselicystis_1				0	0	Bacteria_Myxococcota	98.800	100
OTU_1503	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Frankiaceae_1	Jatrophihabitans_1				0	0	Bacteria_Actinobacteriota	98.800	100
OTU_48	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_61	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_18107	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Chloroflexales_1	Roseiflexaceae_1	Uncultured_156				0	0	Bacteria_Chloroflexi	98.008	100
OTU_545	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Niastella_1				0	0	Bacteria_Bacteroidota	99.600	100
OTU_1948	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1					0	0		0	0
OTU_23038	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1			Pseudomonas_sp.|GLBRC764	98.000	100	Bacteria_Proteobacteria	98.000	100
OTU_20589	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Duganella_1				0	0	Bacteria_Proteobacteria	98.800	100
OTU_7041	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1				0	0	Bacteria_Actinobacteriota	98.800	100
OTU_16940	Bacteria_1	Dependentiae_1	Babeliae_1	Babeliales_1	Vermiphilaceae_1					0	0	Bacteria_Dependentiae	97.590	99
OTU_358	Bacteria_1	Gemmatimonadota_1	Gemmatimonadetes_1	Gemmatimonadales_1	Gemmatimonadaceae_1	Uncultured_76				0	0	Bacteria_Gemmatimonadota	100.000	100
OTU_903	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Uncultured_48					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_17	Bacteria_1	Acidobacteriota_1	Thermoanaerobaculia_1	Thermoanaerobaculales_1	Thermoanaerobaculaceae_1	Subgroup_10_1				0	0	Bacteria_Acidobacteriota	100.000	100
OTU_281	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Gaiellaceae_1	Gaiella_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_5442	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Microscillaceae_1	Ohtaekwangia_1				0	0	Bacteria_Bacteroidota	97.600	100
OTU_3844	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Variovorax_1			Mitsuaria_sp.|GLBRC981	97.129	84	Bacteria_Proteobacteria	99.200	100
OTU_3551	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1				0	0	Bacteria_Actinobacteriota	99.200	100
OTU_136	Bacteria_1	Firmicutes_1	Clostridia_1	Clostridiales_1	Clostridiaceae_1	Clostridium_sensu_stricto_13_1				0	0	Bacteria_Firmicutes	100.000	100
OTU_1956	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1						0	0		0	0
OTU_16302	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Polaromonas_1				0	0	Bacteria_Proteobacteria	100.000	98
OTU_222	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_1010	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Azospirillales_1	Inquilinaceae_1	Inquilinus_1				0	0	Bacteria_Proteobacteria	98.400	100
OTU_1925	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Hydrogenophaga_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_1142	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1					0	0	Bacteria_Proteobacteria	97.600	100
