OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_330	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia pseudoamericana		0	0	Fungi	94.000	100
FOTU_815	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia cookei		0	0	Fungi	99.500	100
FOTU_170	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales					0	0	Fungi	87.940	99
FOTU_10697	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	96.296	81
FOTU_899	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	98.485	99
FOTU_67	Fungi	Ascomycota	Sordariomycetes	Sordariales					0	0	Fungi	98.315	89
FOTU_530	Fungi	Ascomycota							0	0	Fungi	83.065	61
FOTU_334	Fungi	Basidiomycota	Agaricomycetes	Agaricales					0	0	Fungi	100.000	100
FOTU_954	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae				0	0	Fungi	86.893	100
FOTU_488	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp 		0	0	Fungi	92.574	100
FOTU_76	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae			Fusarium_sp.|GLBRC244	100.000	93	Fungi	100.000	100
FOTU_481	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Cadophora	Cadophora sp 		0	0	Fungi	94.000	100
FOTU_631	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	94.059	100
FOTU_3171									0	0		0	0
FOTU_750	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria sp 		0	0	Fungi	99.479	96
FOTU_1634	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales					0	0	Fungi	97.030	100
FOTU_3524	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae				0	0	Fungi	93.299	97
FOTU_1896	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus			0	0	Fungi	97.500	100
FOTU_9316	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	97.475	99
FOTU_469	Rhizaria	Cercozoa							0	0	Rhizaria	98.507	100
FOTU_1262	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	96.129	77
FOTU_740	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe velutipes		0	0	Fungi	100.000	77
FOTU_9312	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	92.994	77
FOTU_733	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae				0	0	Viridiplantae	93.258	89
FOTU_341	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Calycina			0	0	Fungi	93.000	100
FOTU_227	Fungi	Ascomycota	Leotiomycetes	Helotiales				Leotiomycetes_sp.|GLBRC290	97.238	91	Fungi	95.500	100
FOTU_476	Fungi	Ascomycota	Sordariomycetes						0	0	Fungi	97.500	100
FOTU_145	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		Trichoderma_viride|GLBRC209	100.000	92	Fungi	100.000	100
FOTU_260	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	82.759	100
FOTU_187	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terricola		0	0	Fungi	100.000	92
FOTU_431	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella			0	0	Fungi	88.312	77
FOTU_756	Fungi								0	0	Fungi	85.922	100
FOTU_3046	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus			0	0	Fungi	82.524	100
FOTU_315	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora			0	0	Fungi	98.500	100
FOTU_3348									0	0		0	0
FOTU_275	Fungi	Basidiomycota	Agaricomycetes	Auriculariales					0	0	Fungi	92.857	77
FOTU_394	Fungi	Basidiomycota	Agaricomycetes						0	0	Fungi	100.000	76
FOTU_360	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	95.610	100
FOTU_276	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp 		0	0	Fungi	91.584	100
FOTU_2048	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	89.604	100
FOTU_1144	Fungi								0	0	Fungi	81.879	71
FOTU_244	Fungi	Ascomycota							0	0	Fungi	98.701	77
FOTU_7857	Fungi								0	0	Fungi	98.010	100
FOTU_3805	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus			0	0	Fungi	84.112	100
FOTU_566	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	Tubaria minutalis		0	0	Fungi	98.693	77
FOTU_1021	Viridiplantae	Anthophyta	Eudicotyledonae	Lamiales	Plantaginaceae	Plantago			0	0	Viridiplantae	99.500	100
FOTU_9318	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala bonariae		0	0	Fungi	100.000	77
FOTU_365	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Pezicula			0	0	Fungi	97.000	100
FOTU_1025	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Mirandina	Mirandina sp 		0	0	Fungi	100.000	77
