OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_53,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_532,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_534,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_54,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum",Ectomycorrhizal,Highly Probable
OTU_549,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_55,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_sphaerospermum_SH1561457.08FU",Ectomycorrhizal,Highly Probable
OTU_554,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Craterellus,Craterellus_calicornucopioides_SH1648424.08FU",Ectomycorrhizal,Highly Probable
OTU_570,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_571,"Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_separabile_SH1542271.08FU",Ectomycorrhizal,Highly Probable
OTU_592,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_whitei_SH1611243.08FU",Ectomycorrhizal,Probable
OTU_595,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_61,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_cistophilus_SH1611457.08FU",Ectomycorrhizal,Highly Probable
OTU_63,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_excelsa_SH1558434.08FU",Ectomycorrhizal,Highly Probable
OTU_645,"Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,Coltricia_pyrophila_SH1145911.08FU",Ectomycorrhizal,Highly Probable
OTU_662,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina",Ectomycorrhizal,Highly Probable
OTU_67,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae",Ectomycorrhizal,Probable
OTU_672,"Fungi,Ascomycota,GS35,GS35",Ectomycorrhizal,Highly Probable
OTU_68,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_681,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_686,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum_infumatum_SH1647761.08FU",Ectomycorrhizal,Possible
OTU_697,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella_pseudolacunosa_SH1556900.08FU",Ectomycorrhizal,Highly Probable
OTU_70,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_albonigra_SH1569600.08FU",Ectomycorrhizal,Highly Probable
OTU_75,"Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora",Ectomycorrhizal,Highly Probable
OTU_76,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora",Ectomycorrhizal,Highly Probable
OTU_763,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,Terfezia_cistophila_SH1510511.08FU",Ectomycorrhizal,Highly Probable
OTU_774,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_789,"Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_columnaris_SH1540609.08FU",Ectomycorrhizal,Highly Probable
OTU_796,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus_obscurisporus_SH1569017.08FU",Ectomycorrhizal,Highly Probable
OTU_800,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_brunneolividus_SH1504024.08FU",Ectomycorrhizal,Highly Probable
OTU_814,"Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leptodontidium",Ectomycorrhizal,Highly Probable
OTU_820,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_833,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Pseudocraterellus",Ectomycorrhizal,Probable
OTU_835,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma",Ectomycorrhizal,Highly Probable
OTU_844,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_lanuginosa_SH1571931.08FU",Ectomycorrhizal,Probable
OTU_872,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_coerulea_SH1502233.08FU",Ectomycorrhizal,Highly Probable
OTU_881,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinellum,Leccinellum_corsicum_SH1573432.08FU",Ectomycorrhizal,Highly Probable
OTU_89,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_92,"Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma",Ectomycorrhizal,Highly Probable
OTU_93,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_violeipes_SH1527641.08FU",Ectomycorrhizal,Highly Probable
OTU_931,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
OTU_94,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_badia_SH1502281.08FU",Ectomycorrhizal,Highly Probable
OTU_941,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_poichilochroa_SH1509048.08FU",Ectomycorrhizal,Highly Probable
OTU_952,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_maculatocaespitosus_SH1504595.08FU",Ectomycorrhizal,Highly Probable
OTU_959,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_pubescens_SH1519113.08FU",Ectomycorrhizal,Highly Probable
OTU_979,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_992,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,Pisolithus_capsulifer_SH1509200.08FU",Ectomycorrhizal,Highly Probable
OTU_999,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
